year,variable_x,variable_y,correlation
2009,emission_per_gdp,green_rate,-0.3524729592950041
2009,emission_per_gdp,emission_per_gdp,1.0
2010,clean_ratio,clean_ratio,1.0
2010,clean_ratio,green_rate,0.08294545577252312
2010,clean_ratio,emission_per_gdp,-0.6736907912102242
2010,green_rate,clean_ratio,0.08294545577252312
2010,green_rate,green_rate,1.0
2010,green_rate,emission_per_gdp,-0.10579010888433141
2010,emission_per_gdp,clean_ratio,-0.6736907912102242
2010,emission_per_gdp,green_rate,-0.10579010888433141
2010,emission_per_gdp,emission_per_gdp,1.0
2011,clean_ratio,clean_ratio,1.0
2011,clean_ratio,green_rate,0.15059651703408097
2011,clean_ratio,emission_per_gdp,-0.6655818552837769
2011,green_rate,clean_ratio,0.15059651703408097
2011,green_rate,green_rate,1.0
2011,green_rate,emission_per_gdp,-0.16506793836893854
2011,emission_per_gdp,clean_ratio,-0.6655818552837769
2011,emission_per_gdp,green_rate,-0.16506793836893854
2011,emission_per_gdp,emission_per_gdp,1.0
2012,clean_ratio,clean_ratio,1.0
2012,clean_ratio,green_rate,0.20851619149739356
2012,clean_ratio,emission_per_gdp,-0.6602628750938626
2012,green_rate,clean_ratio,0.20851619149739356
2012,green_rate,green_rate,1.0
2012,green_rate,emission_per_gdp,-0.24023337813801943
2012,emission_per_gdp,clean_ratio,-0.6602628750938626
2012,emission_per_gdp,green_rate,-0.24023337813801943
2012,emission_per_gdp,emission_per_gdp,1.0
2013,clean_ratio,clean_ratio,1.0
2013,clean_ratio,green_rate,0.23316061591165782
2013,clean_ratio,emission_per_gdp,-0.7492098394172523
2013,green_rate,clean_ratio,0.23316061591165782
2013,green_rate,green_rate,1.0
2013,green_rate,emission_per_gdp,-0.2139408320458032
2013,emission_per_gdp,clean_ratio,-0.7492098394172523
2013,emission_per_gdp,green_rate,-0.2139408320458032
2013,emission_per_gdp,emission_per_gdp,1.0
2014,clean_ratio,clean_ratio,1.0
2014,clean_ratio,green_rate,0.22170962177494608
2014,clean_ratio,emission_per_gdp,-0.7175443414034594
2014,green_rate,clean_ratio,0.22170962177494608
2014,green_rate,green_rate,1.0
2014,green_rate,emission_per_gdp,-0.1527815363892151
2014,emission_per_gdp,clean_ratio,-0.7175443414034594
2014,emission_per_gdp,green_rate,-0.1527815363892151
2014,emission_per_gdp,emission_per_gdp,1.0
2015,clean_ratio,clean_ratio,1.0
2015,clean_ratio,green_rate,0.12306064683024441
2015,clean_ratio,emission_per_gdp,-0.7484808340803623
2015,green_rate,clean_ratio,0.12306064683024441
2015,green_rate,green_rate,1.0
2015,green_rate,emission_per_gdp,-0.08021459161023056
2015,emission_per_gdp,clean_ratio,-0.7484808340803623
2015,emission_per_gdp,green_rate,-0.08021459161023056
2015,emission_per_gdp,emission_per_gdp,1.0
2016,clean_ratio,clean_ratio,1.0
2016,clean_ratio,green_rate,0.2953022555793748
2016,clean_ratio,emission_per_gdp,-0.6060632031816361
2016,green_rate,clean_ratio,0.2953022555793748
2016,green_rate,green_rate,1.0
2016,green_rate,emission_per_gdp,-0.0640116800654549
2016,emission_per_gdp,clean_ratio,-0.6060632031816361
2016,emission_per_gdp,green_rate,-0.0640116800654549
2016,emission_per_gdp,emission_per_gdp,1.0
2017,clean_ratio,clean_ratio,1.0
2017,clean_ratio,green_rate,0.25575246059448087
2017,clean_ratio,emission_per_gdp,-0.535969702466231
2017,green_rate,clean_ratio,0.25575246059448087
2017,green_rate,green_rate,1.0
2017,green_rate,emission_per_gdp,-0.13183688940178756
2017,emission_per_gdp,clean_ratio,-0.535969702466231
2017,emission_per_gdp,green_rate,-0.13183688940178756
2017,emission_per_gdp,emission_per_gdp,1.0
2018,clean_ratio,clean_ratio,1.0
2018,clean_ratio,green_rate,0.16269985331766504
2018,clean_ratio,emission_per_gdp,-0.5160911592779359
2018,green_rate,clean_ratio,0.16269985331766504
2018,green_rate,green_rate,1.0
2018,green_rate,emission_per_gdp,-0.05630646813129866
2018,emission_per_gdp,clean_ratio,-0.5160911592779359
2018,emission_per_gdp,green_rate,-0.05630646813129866
2018,emission_per_gdp,emission_per_gdp,1.0
2019,clean_ratio,clean_ratio,1.0
2019,clean_ratio,green_rate,0.16780119675869562
2019,clean_ratio,emission_per_gdp,-0.47926651817103416
2019,green_rate,clean_ratio,0.16780119675869562
2019,green_rate,green_rate,1.0
2019,green_rate,emission_per_gdp,-0.12026994709600758
2019,emission_per_gdp,clean_ratio,-0.47926651817103416
2019,emission_per_gdp,green_rate,-0.12026994709600758
2019,emission_per_gdp,emission_per_gdp,1.0
2020,clean_ratio,clean_ratio,1.0
2020,clean_ratio,green_rate,0.017451946832228917
2020,clean_ratio,emission_per_gdp,-0.6150334628207621
2020,green_rate,clean_ratio,0.017451946832228917
2020,green_rate,green_rate,1.0
2020,green_rate,emission_per_gdp,9.181534558886848e-05
2020,emission_per_gdp,clean_ratio,-0.6150334628207621
2020,emission_per_gdp,green_rate,9.181534558886848e-05
2020,emission_per_gdp,emission_per_gdp,1.0
2021,clean_ratio,clean_ratio,1.0
2021,clean_ratio,green_rate,-0.06367923023968992
2021,clean_ratio,emission_per_gdp,-0.6314436973615287
2021,green_rate,clean_ratio,-0.06367923023968992
2021,green_rate,green_rate,1.0
2021,green_rate,emission_per_gdp,-0.03449437942821467
2021,emission_per_gdp,clean_ratio,-0.6314436973615287
2021,emission_per_gdp,green_rate,-0.03449437942821467
2021,emission_per_gdp,emission_per_gdp,1.0
2022,clean_ratio,clean_ratio,1.0
2022,clean_ratio,green_rate,0.011817305479715193
2022,clean_ratio,emission_per_gdp,-0.548291920857828
2022,green_rate,clean_ratio,0.011817305479715193
2022,green_rate,green_rate,1.0
2022,green_rate,emission_per_gdp,-0.08630051174152938
2022,emission_per_gdp,clean_ratio,-0.548291920857828
2022,emission_per_gdp,green_rate,-0.08630051174152938
2022,emission_per_gdp,emission_per_gdp,1.0
